timestamp,run_key,model,task,language,n,n_correct,accuracy,mean_completion_tokens,median_completion_tokens,std_completion_tokens,p10_completion_tokens,p90_completion_tokens,mean_total_tokens,mean_prompt_tokens,mean_latency_s,median_latency_s,p90_latency_s,mean_response_chars,mean_fertility,n_truncated,truncation_rate,avg_cost_per_attempt_usd,ceff_usd
2026-06-16T12:24:30.019801+00:00,llama4-scout__math__en,llama4-scout,math,en,500,442,0.884,227.39,215.0,89.33,135.0,337.2,379.2,151.81,1.293,1.036,2.793,822.0,1.407,0,0.0,9.401e-05,0.000106352026-06-16T13:47:49.295762+00:00,llama3.1-8b__math__en,llama3.1-8b,math,en,500,324,0.648,330.15,214.5,705.03,141.0,332.1,517.05,186.9,4.109,0.991,9.61,1154.2,1.369,11,0.022,3.576e-05,5.518e-05
2026-06-17T05:05:21.424226+00:00,llama4-scout__math__zh,llama4-scout,math,zh,500,464,0.928,167.23,155.5,62.45,103.9,241.3,364.03,196.81,1.762,1.79,2.919,303.6,4.0696,0,0.0,7.851e-05,8.46e-05
2026-06-17T05:20:40.118051+00:00,llama3.1-8b__math__zh,llama3.1-8b,math,zh,500,277,0.554,368.06,186.0,898.27,125.9,301.0,596.96,228.9,5.396,2.204,10.624,564.5,14.6433,18,0.036,4.089e-05,7.381e-05
2026-06-17T06:14:56.686559+00:00,gpt-oss-20b__math__en,gpt-oss-20b,math,en,500,470,0.94,240.93,172.0,333.74,91.0,403.6,466.45,225.52,2.452,0.879,5.878,122.8,65.1083,1,0.002,0.0,0.0
2026-06-17T06:44:16.011112+00:00,gpt-oss-120b__math__en,gpt-oss-120b,math,en,500,471,0.942,298.76,257.0,159.1,167.0,471.1,524.28,225.52,2.912,2.086,5.057,399.8,4.1267,0,0.0,0.0,0.0
2026-06-17T09:07:32.732239+00:00,llama4-scout__math__ar,llama4-scout,math,ar,500,474,0.948,216.38,207.5,77.57,131.0,316.0,437.19,220.81,1.236,0.874,2.804,525.1,2.0832,0,0.0,9.786e-05,0.00010323
2026-06-17T09:12:02.195616+00:00,llama4-scout__math__hi,llama4-scout,math,hi,500,465,0.93,244.6,227.0,95.99,137.0,372.2,473.41,228.81,1.103,0.867,1.672,626.0,1.7789,0,0.0,0.00010833,0.00011649
2026-06-17T09:16:45.256837+00:00,llama4-scout__math__fi,llama4-scout,math,fi,500,409,0.818,188.31,181.5,66.41,108.0,277.1,417.12,228.81,1.492,0.881,2.996,526.3,2.2439,0,0.0,8.919e-05,0.00010904
2026-06-17T09:21:36.378655+00:00,llama4-scout__math__ko,llama4-scout,math,ko,500,459,0.918,175.28,165.5,66.58,100.0,265.1,378.09,202.81,1.64,0.912,3.017,317.5,2.3003,0,0.0,8.19e-05,8.922e-05
2026-06-17T09:34:17.409154+00:00,llama3.1-8b__math__ar,llama3.1-8b,math,ar,500,357,0.714,454.5,242.5,943.91,148.0,443.0,694.4,239.9,6.09,0.881,15.706,1100.9,2.1431,20,0.04,4.836e-05,6.772e-05
2026-06-17T09:45:21.380653+00:00,gpt-oss-120b__math__zh,gpt-oss-120b,math,zh,500,467,0.934,344.56,310.0,163.15,209.9,519.2,605.08,260.52,2.573,1.196,5.291,294.1,7.5123,0,0.0,0.00024581,0.00026318
2026-06-17T09:53:28.940515+00:00,gpt-oss-120b__math__ar,gpt-oss-120b,math,ar,500,443,0.886,380.03,342.5,172.8,229.9,576.2,646.55,266.52,2.002,1.241,3.254,576.3,3.6357,0,0.0,0.000268,0.00030248
